id,observed_on,latitude,longitude,common_name
2581349,2016-01-01,29.1752527,-94.9829387,Five-slotted Sand Dollar
2588167,2015-12-20,26.44897,-82.022314,sea urchins
2588170,2015-12-20,26.44897,-82.022314,sea urchins
2635242,2013-08-12,29.767355,-85.40359,Variegated Sea Urchin
2635307,2013-08-12,29.76728,-85.403595,Purple-brown Urchin
2671532,2016-01-26,30.269703,-87.58676,
2675167,2016-02-10,21.11557,-86.713543,Atlantic Long-spined Sea Urchin
2682074,2011-05-30,22.708117,-84.024673,Variegated Sea Urchin
2693069,2016-02-08,24.561811,-81.680289,Rock-boring Urchins
2752413,2016-03-06,25.753948,-80.146299,Atlantic Rock-boring Urchin
2756089,2016-02-29,30.31692,-87.2624033333,Keyhole Sand Dollars
2756152,2016-03-01,30.317495,-87.2756116667,Five-slotted Sand Dollar
2771628,2016-03-12,25.7517000754,-80.1463493799,
2771641,2016-03-12,25.7517166667,-80.1463778333,Variegated Sea Urchin
2771692,2016-03-12,25.7517166667,-80.1463778333,Variegated Sea Urchin
2771770,2016-03-12,25.7528895093,-80.1465001703,Variegated Sea Urchin
2772190,2016-03-12,25.7526430395,-80.1464829036,Variegated Sea Urchin
2772205,2016-03-12,25.7522341283,-80.1463283413,Variegated Sea Urchin
2773074,2016-03-12,25.7519583218,-80.146224741,Atlantic Rock-boring Urchin
2774149,2016-03-12,25.7517153304,-80.1462412533,Atlantic Rock-boring Urchin
2774150,2016-03-12,25.7519103103,-80.1461275663,Atlantic Rock-boring Urchin
2774153,2016-03-12,25.7519116667,-80.1461278333,Atlantic Rock-boring Urchin
2782333,2016-03-02,18.351241,-87.803005,West Indian Sea Egg
2790897,2016-03-12,25.75207629,-80.14640789,Variegated Sea Urchin
2807230,2013-04-27,19.175549,-96.093106,Slate Pencil Urchin
2825292,2016-03-24,32.5653319387,-80.182615025,Isometric Sand Dollar
2830687,2013-04-27,19.175496,-96.093012,Variegated Sea Urchin
2841164,2016-03-14,24.7357286087,-97.6184305097,Five-slotted Sand Dollar
2853432,2014-03-15,24.124677,-74.457509,West Indian Sea Egg
2854680,2016-03-30,29.891470545,-81.309989635,Purple-brown Urchin
2854688,2016-03-30,29.89187796,-81.30863704,Purple-brown Urchin
2854690,2016-03-30,29.891505,-81.3099283333,Purple-brown Urchin
2854711,2016-03-30,29.89155,-81.3099533333,Purple-brown Urchin
2854755,2016-03-30,29.8915166667,-81.3099366667,Purple-brown Urchin
2855022,2016-03-30,29.8914495149,-81.3097952346,Purple-brown Urchin
2857636,2016-03-13,18.192825,-87.820587,Slate Pencil Urchin
2857893,2016-03-12,18.708692,-87.695618,West Indian Sea Egg
2859026,2016-03-30,29.8915133333,-81.3099133333,Purple-brown Urchin
2870333,2015-04-02,18.173856,-76.394581,West Indian Sea Egg
2872521,2016-04-03,33.5046400253,-79.0603969858,Purple-brown Urchin
2872835,2015-11-01,26.601417,-78.400806,Long-spined Sea Biscuit
2872836,2015-11-01,26.601417,-78.400806,
2872860,2015-11-02,26.694858,-78.99848,Atlantic Long-spined Sea Urchin
2879647,2015-04-02,18.173856,-76.394581,Variegated Sea Urchin
2917439,2016-04-11,25.7524948893,-80.1464715042,
3003478,2016-04-04,31.062096,-81.404332,Five-slotted Sand Dollar
3029896,2015-08-30,27.7941080161,-97.3900154623,Five-slotted Sand Dollar
3056921,2016-04-29,30.2435846157,-87.7093883704,"Sea Urchins, Sand Dollars, and Heart Urchins"
3149645,2016-05-07,29.0782666667,-80.9161616667,Purple-brown Urchin
3164163,2012-12-20,19.773165,-96.417732,Five-slotted Sand Dollar
3171955,2013-02-13,18.420702,-87.765246,West Indian Sea Egg
3185225,2016-03-19,39.3280998105,-74.4943294792,Common Sand Dollar
3190406,2016-05-16,25.7436163947,-80.2104358554,Variegated Sea Urchin
3304071,2016-04-22,22.8197,-84.494,sea biscuits
3341106,2016-05-30,27.332875,-82.5718083333,sea urchins
3370379,2016-06-03,27.51368,-82.71183,Five-slotted Sand Dollar
3397327,2016-05-10,19.340625,-81.383929,Atlantic Long-spined Sea Urchin
3406273,2016-06-07,27.538205,-82.7402283333,Purple-brown Urchin
3435247,2016-03-15,21.518075,-87.678014,West Indian Sea Egg
3438412,2016-06-11,19.223517,-96.169188,Five-slotted Sand Dollar
3446202,2016-02-07,24.665588,-81.252673,Purple-brown Urchin
3446566,2016-05-22,19.658794,-80.083889,Reef Urchin
3446567,2016-05-22,19.658794,-80.083889,West Indian Sea Egg
3452338,2016-06-13,19.588823,-96.376963,
3467013,2016-06-12,20.764132,-86.953697,Atlantic Rock-boring Urchin
3492004,2016-06-20,27.6674861908,-82.7443847656,Keyhole Sand Dollars
3510374,2016-06-14,21.381984,-88.970737,West Indian Sea Egg
3564467,2016-06-15,21.345208,-89.248934,West Indian Sea Egg
3590026,2016-06-22,24.8240255,-80.8136783,Reef Urchin
3590030,2016-06-22,24.8240503865,-80.8129234303,Atlantic Rock-boring Urchin
3590032,2016-06-22,24.8244398862,-80.8134384145,Atlantic Long-spined Sea Urchin
3591721,2016-06-24,24.8779836,-80.6767321,Slate Pencil Urchin
3597963,2016-05-24,24.6277664613,-82.8744864464,Atlantic Rock-boring Urchin
3711957,2016-07-15,19.2015892207,-96.135295241,Atlantic Rock-boring Urchin
3718721,2016-04-22,21.029830725,-97.19736135,West Indian Sea Egg
3733535,2016-07-12,21.1949754023,-86.7157745361,"Sea Urchins, Sand Dollars, and Heart Urchins"
3787416,2013-03-22,19.1286126808,-96.1419128538,
3811988,2016-07-29,25.0862013398,-77.2990322113,Atlantic Long-spined Sea Urchin
3828971,2016-03-08,34.6683910691,-76.6078862491,Isometric Sand Dollar
3852108,2016-08-07,29.0684961363,-80.9141509228,irregular sea urchins
3852425,2016-08-08,27.7460466667,-97.1207416667,Five-slotted Sand Dollar
3893351,2016-08-15,32.5941973,-80.1199584,Isometric Sand Dollar
3896667,2015-07-21,23.7837681017,-97.7357176902,Five-slotted Sand Dollar
3954018,2016-08-24,32.8194131,-79.7343791,Isometric Sand Dollar
3977446,2016-08-17,24.8384464,-80.7586809,Atlantic Long-spined Sea Urchin
4020566,2016-08-29,32.5653834688,-80.1824515449,Purple-brown Urchin
4053600,2016-08-27,21.1198611426,-86.7603378254,"Sea Urchins, Sand Dollars, and Heart Urchins"
4098188,2013-03-22,19.0408863492,-95.8441391481,Atlantic Long-spined Sea Urchin
4199271,2016-09-25,38.7564360874,-75.2256121246,Isometric Sand Dollar
4233614,2014-05-14,19.5884182735,-96.3879060745,Rock-boring Urchins
4238570,2016-09-30,18.4511202172,-92.8707463034,Five-slotted Sand Dollar
4238596,2016-09-30,18.453393252,-92.8642548266,Five-slotted Sand Dollar
4274474,2016-10-04,32.9079506,-79.6089613,Isometric Sand Dollar
4390734,2016-10-07,39.528375,-74.2692716667,Common Sand Dollar
4390739,2016-10-12,19.1740161785,-96.1195456982,
4390742,2016-10-12,19.1752676805,-96.1199694872,Atlantic Rock-boring Urchin
4405898,2016-10-20,23.7736294754,-97.733851969,Five-slotted Sand Dollar
4405899,2016-10-20,23.7736392939,-97.733849287,Five-slotted Sand Dollar
4406094,2016-10-20,23.7759196073,-97.7342033386,Five-slotted Sand Dollar
4406273,2016-10-20,23.6787817026,-97.7296455217,Five-slotted Sand Dollar
4413118,2015-08-16,21.1693784064,-97.294598668,Atlantic Long-spined Sea Urchin
