id,observed_on,Latitude,Longitude
10191090,2018-03-11,25.7186366667,-80.1484971667
10222345,2018-02-25,28.1476602976,-80.5816920988
10268917,2018-03-16,30.0080888833,-81.3437866667
11075271,2018-02-23,26.3607859415,-80.0685028732
11395407,2018-02-24,27.6763133333,-80.3620833333
11449383,2018-02-28,28.3386116028,-80.6072235107
11695472,2018-04-06,28.369243975,-80.6014974637
12514116,2018-05-16,30.292855,-81.389045
13117402,2018-06-04,28.5990310586,-80.8061458146
13256172,2018-06-08,33.9110263722,-78.2907062397
13363711,2018-06-12,35.606716156,-75.4679107666
13565977,2018-06-18,28.0599439768,-80.5519119493
14983254,2018-04-01,26.7151625124,-80.0330251886
15210056,2018-02-26,28.0616028333,-80.5531383333
16014146,2018-02-23,26.786645,-80.0331805
16067126,2018-02-24,26.71465,-80.0330416667
16407665,2018-02-10,26.9618021142,-80.077447654
16912782,2018-09-25,36.2049012096,-75.7604290461
17529249,2018-10-14,27.46937,-80.291389
18015047,2018-11-01,25.6152216032,-80.3052728623
18142658,2018-11-04,27.4983615875,-80.2994995117
18143517,2018-11-05,25.6156688985,-80.3065573913
18260985,2018-02-15,26.2251583333,-80.0890666667
18357072,2018-11-12,28.7055904399,-80.6682609022
18412155,2018-11-09,35.42505,-75.4845966667
18412233,2018-11-09,35.42495,-75.4846416667
18476401,2018-11-18,28.6574973632,-80.6328959764
18499322,2018-11-18,28.6573725986,-80.6329368801
18509614,2018-11-19,28.009875,-80.5290916667
18511769,2018-11-19,29.2772293091,-81.031867981
18525332,2018-06-23,38.7854898291,-75.086708151
18550440,2018-11-19,24.740305,-80.98085
18574455,2018-02-03,26.442367,-80.060151
18732923,2018-11-30,26.3866653442,-80.0664138794
18742959,2018-11-30,26.39147,-80.0678753889
18744017,2018-11-30,26.391095,-80.0661116667
18778123,2018-12-01,25.7922188156,-80.1260510849
18898016,2018-02-14,25.7761211646,-80.1289047739
18901399,2018-12-08,26.97786589,-80.08225059
18921408,2018-05-10,28.94895,-80.8379216667
19018610,2018-12-14,26.780852053,-80.0338284243
19030563,2018-12-14,26.7921710985,-80.0315985355
19038019,2018-12-15,24.7412116667,-80.9800033333
19047661,2018-12-16,25.87128295,-80.11951905
19099518,2018-12-19,26.184699554,-80.0953224488
19120845,2018-12-08,26.3714332,-80.0770645
19215062,2018-12-25,26.5760000199,-80.03805517
19254693,2018-12-26,25.8041667938,-80.1227798462
19256368,2018-12-27,28.0830367981,-80.5620362052
19257173,2018-12-27,27.0684945,-80.1156388333
19259421,2018-12-27,24.8493633333,-80.7367383333
19270012,2018-12-28,26.887775,-80.0550916667
19276344,2018-12-28,26.1859355914,-80.0951451716
19295178,2018-12-28,24.7414083333,-80.9799416667
19312952,2018-12-30,26.2962283333,-80.0773916667
19331575,2018-12-31,26.1657885811,-80.0979240326
19343980,2018-12-31,25.715612944,-80.149744183
19362717,2019-01-01,25.9719,-80.118225
19364271,2019-01-01,34.6967783333,-76.7298583333
19364620,2019-01-01,25.9724966667,-80.1183028333
19407162,2019-01-03,27.8796356,-80.4580402
19589381,2019-01-12,26.790120774,-80.0316632354
19822261,2019-01-23,25.822829098,-80.1233096275
19824771,2019-01-23,25.7319019782,-80.1620528755
19824794,2019-01-23,25.7317705499,-80.1619814616
19843027,2019-01-24,25.7514716667,-80.1461721667
19844038,2019-01-24,25.7395181673,-80.1696309287
19844375,2019-01-24,25.7342546295,-80.1433621612
19848580,2019-01-24,26.8222964716,-80.037977652
19848587,2019-01-24,26.8222260642,-80.038023399
19862118,2019-01-25,25.7440335564,-80.2103500057
19875378,2019-01-24,27.277989,-80.206704
19890484,2019-01-26,24.9675006866,-80.5622253418
19904796,2019-01-27,25.7906969333,-80.1304570093
19908816,2019-01-27,25.782972076,-80.1277865656
19922642,2019-01-26,28.330117,-80.607108
19969295,2019-01-25,24.8959883333,-80.66407
19987669,2019-01-25,26.8930772,-80.0566595
20011696,2019-02-01,26.0059518647,-80.1155377553
20019786,2019-02-01,25.66993723,-80.15362401
20031906,2019-02-02,28.3720664119,-80.6042856172
20032066,2019-02-02,28.3878372923,-80.6043701456
20033055,2019-02-02,25.7434729313,-80.2104775516
20052996,2019-02-02,26.0134111167,-80.1150666667
20060519,2019-02-02,25.719745,-80.1480861667
20060868,2019-02-03,27.1930830382,-80.1626530079
20085140,2019-02-04,27.0667419769,-80.1147781872
20086896,2019-02-04,26.9330633333,-80.0687638333
20131953,2019-02-05,25.8637858406,-80.1189830527
20145421,2019-02-01,25.6685768945,-80.1581982896
20185916,2019-02-06,26.6279283333,-80.0365445
20201334,2019-02-08,25.87982421,-80.12025397
20212142,2019-02-08,26.8858604431,-80.0545196533
20217691,2019-02-04,28.0548638333,-80.5501033333
20230878,2019-02-09,26.4594643563,-80.0578600961
20253787,2019-02-10,25.7142852713,-80.1507230569
20260062,2019-02-10,27.2659710981,-80.2010516078
20268541,2019-02-07,25.6796796484,-80.2562339517
20301253,2019-02-07,26.821657056,-80.0380493236
20304493,2019-02-12,28.3107149955,-80.607839115
20347232,2019-02-14,26.933340719,-80.0687347167
20355308,2019-02-08,25.9702266704,-80.0985733563
20368570,2019-02-15,26.9625173277,-80.07777703
20374719,2019-02-10,25.9204716667,-80.121125
20431562,2019-02-17,26.3637341545,-80.0681089237
20432444,2019-02-17,27.3654,-80.24617
20463491,2019-02-15,25.6809036944,-80.2590344167
20463495,2019-02-15,25.6811937222,-80.2590766389
20470771,2019-02-18,26.0821266174,-80.1096191406
20488425,2019-02-19,26.1851833333,-80.0952528333
20489785,2019-02-19,26.1406793356,-80.1019839557
20495373,2019-02-15,25.6810321848,-80.2587073669
20500112,2019-02-19,24.9461116791,-80.5983352661
20501096,2019-02-19,28.2731553271,-80.6058352766
20507871,2019-02-19,25.7901086851,-80.126698345
20541627,2019-02-21,25.7788166667,-80.1284028333
20550119,2019-02-18,26.1888812603,-80.0927795976
20579491,2019-02-22,28.3315115283,-80.609732587
20679332,2019-02-23,26.3606579136,-80.068641007
20691267,2019-02-23,26.8857880449,-80.0545435679
20705198,2019-02-21,25.7709314643,-80.1308380144
20792253,2019-02-17,24.7294416667,-81.0017
20808254,2019-02-09,27.1800783333,-80.1589278333
20816654,2019-02-10,25.672005,-80.1529388333
20816862,2019-02-19,25.7167633333,-80.147925
20868536,2019-02-26,28.0278301472,-80.5378707592
20868544,2019-02-26,28.028935385,-80.5383828935
20899132,2019-03-02,26.1430083333,-80.1028583333
20901993,2019-02-20,25.7176016667,-80.148785
20901995,2019-02-20,25.7176616667,-80.14883
21025841,2019-03-07,26.7728317576,-80.0436334313
21111424,2019-03-10,26.883845,-80.05365
21115204,2019-02-23,27.7978076935,-80.4150466919
21213295,2019-03-13,28.3371486096,-80.605973471
21237457,2019-03-14,26.9853716667,-80.085
21261194,2019-02-01,28.6765155792,-80.6465072632
21406156,2019-03-19,25.7651554876,-80.1304102689
21553631,2019-03-10,28.3455866667,-80.6075583333
21754910,2019-03-29,28.3265886217,-80.6068355329
21806612,2019-03-30,25.8029613495,-80.1246948242
21809960,2019-03-30,28.3506537111,-80.6044397041
21996207,2019-04-04,26.5839936544,-80.037720911
22003145,2019-04-04,25.6873166407,-80.1564425956
22311101,2019-03-29,26.5415217793,-80.0438576056
22434463,2019-04-13,26.392305,-80.0657361667
22758797,2019-04-20,35.4077349254,-75.4858105928
23714546,2018-12-28,25.793072286,-80.1319294512
24854622,2019-03-16,30.6801171476,-81.4329765113
24859807,2019-05-09,33.7630577087,-78.7821273804
24987538,2019-05-12,26.1947874645,-80.094043018
25257147,2019-05-17,27.7518195343,-80.3897532375
25340774,2019-05-11,26.616795,-80.0364
25392224,2019-05-19,31.476217672,-81.2041167568
25566904,2019-05-21,28.1242980957,-80.5757522583
25595918,2019-05-22,30.1562555,-81.35395
25640262,2019-05-23,30.60102,-81.4413616667
26210299,2018-02-24,26.1682383333,-80.09835
26754105,2019-06-10,32.5602533333,-80.1644221667
26965220,2019-06-05,32.1164198102,-80.8277309138
27335682,2019-04-03,29.0013141632,-80.8724212646
27600323,2019-06-17,31.3956773954,-81.2610591455
28316375,2019-05-24,29.8643116667,-81.2663716667
30789751,2019-01-05,25.7934716667,-80.1260445
